"Date", "Level"
"08/21/2020","HIGH"
"08/22/2020","HIGH"
"08/22/2020","HIGH"
"08/23/2020","HIGH"
"08/24/2020","HIGH"
"08/25/2020","MODERATE"
"08/26/2020","MODERATE"
"08/27/2020","HIGH"
"08/28/2020","MODERATE"
"08/29/2020","LOW"
"08/30/2020","Moderate"
"08/31/2020","MODERATE"
"09/01/2020","MODERATE"
"09/02/2020","MODERATE"
"09/03/2020","HIGH"
"09/04/2020","HIGH"
"09/05/2020","HIGH"
"09/06/2020","MODERATE"
"09/07/2020","MODERATE"
"09/08/2020","MODERATE"
"09/09/2020","MODERATE"
"09/10/2020","MODERATE"
"09/11/2020","LOW"
"09/12/2020","LOW"
"09/13/2020","MODERATE"
"09/14/2020","MODERATE"
"09/15/2020","LOW"
"09/16/2020","LOW"
"09/17/2020","MODERATE"
"09/18/2020",""
"09/19/2020",""
"09/20/2020",""
"09/21/2020","LOW"
"09/22/2020",""
"09/23/2020","LOW"
"09/24/2020","LOW"
"09/25/2020","LOW"
"09/26/2020","LOW"
"09/27/2020","LOW"
"09/28/2020","LOW"
"09/29/2020","LOW"
"09/30/2020","LOW"
"10/01/2020","LOW"
"10/02/2020","LOW"
"10/03/2020","LOW"
"10/04/2020","LOW"
"10/05/2020","LOW"
"10/06/2020","LOW"
"10/07/2020","LOW"
"10/08/2020","LOW"
"10/09/2020",""
"10/10/2020","LOW"
"10/11/2020",""
"10/12/2020",""
"10/13/2020","NOT AVAILABLE"
"10/14/2020","NOT AVAILABLE"
"10/15/2020","NOT AVAILABLE"
"10/16/2020","NOT AVAILABLE"
"10/17/2020","NOT IN SEASON"
"10/18/2020","NOT IN SEASON"
"10/19/2020","NOT IN SEASON"
"10/20/2020","NOT IN SEASON"
"10/21/2020","NOT IN SEASON"
"10/22/2020","NOT IN SEASON"
"10/23/2020","NOT IN SEASON"
"10/24/2020","NOT IN SEASON"
"10/25/2020","NOT IN SEASON"
"10/26/2020","NOT IN SEASON"
"10/27/2020","NOT IN SEASON"
"10/28/2020","NOT IN SEASON"
"10/29/2020","NOT IN SEASON"
"10/30/2020","NOT IN SEASON"
"10/31/2020","NOT IN SEASON"
"11/01/2020","NOT IN SEASON"
"11/02/2020","NOT IN SEASON"
"11/03/2020","NOT IN SEASON"
